Actual_Energy,Predicted_Energy,Confidence,CBIS_Decision,CBIS_Energy_J
8014.5,8029.372,0.9981,STAY_ACTIVE,8029.3720703125
4091.7,4095.6965,0.999,SCALE_DOWN,3000.0
5725.5,5747.8027,0.9961,STAY_ACTIVE,5747.802734375
7809.6,7696.4897,0.9855,STAY_ACTIVE,7696.48974609375
5728.200000000001,5721.2305,0.9988,STAY_ACTIVE,5721.23046875
6670.199999999999,6665.055,0.9992,STAY_ACTIVE,6665.05517578125
3733.8,3737.5398,0.999,SCALE_DOWN,3000.0
5583.0,5565.7866,0.9969,STAY_ACTIVE,5565.78662109375
7626.0,7617.1836,0.9988,STAY_ACTIVE,7617.18359375
7971.599999999999,7958.9097,0.9984,STAY_ACTIVE,7958.90966796875
11110.2,11125.13,0.9987,STAY_ACTIVE,11125.1298828125
4341.0,4334.6636,0.9985,SCALE_DOWN,3000.0
10469.7,10459.685,0.999,STAY_ACTIVE,10459.6845703125
11628.9,11576.807,0.9955,STAY_ACTIVE,11576.806640625
3788.7,3789.254,0.9999,SCALE_DOWN,3000.0
3906.6,3905.8105,0.9998,SCALE_DOWN,3000.0
5479.8,5495.7773,0.9971,STAY_ACTIVE,5495.77734375
7086.0,7091.448,0.9992,STAY_ACTIVE,7091.4482421875
3324.9,3330.614,0.9983,SCALE_DOWN,3000.0
11289.6,11256.286,0.997,STAY_ACTIVE,11256.2861328125
3412.8,3407.4475,0.9984,SCALE_DOWN,3000.0
5094.6,5115.1855,0.996,STAY_ACTIVE,5115.185546875
4137.3,4133.788,0.9992,SCALE_DOWN,3000.0
5970.9,5991.562,0.9965,STAY_ACTIVE,5991.56201171875
6340.8,6341.565,0.9999,STAY_ACTIVE,6341.56494140625
21000.0,20975.281,0.9988,STAY_ACTIVE,20975.28125
3857.1,3860.8242,0.999,SCALE_DOWN,3000.0
10652.7,10632.256,0.9981,STAY_ACTIVE,10632.255859375
3700.5,3692.8892,0.9979,SCALE_DOWN,3000.0
3435.2999999999997,3431.2356,0.9988,SCALE_DOWN,3000.0
6061.799999999999,6064.604,0.9995,STAY_ACTIVE,6064.60400390625
14325.6,14371.397,0.9968,STAY_ACTIVE,14371.3974609375
3815.7,3814.8499,0.9998,SCALE_DOWN,3000.0
3939.9,3948.1025,0.9979,SCALE_DOWN,3000.0
4441.8,4441.9287,1.0,SCALE_DOWN,3000.0
7182.6,7211.595,0.996,STAY_ACTIVE,7211.59521484375
6473.400000000001,6488.235,0.9977,STAY_ACTIVE,6488.23486328125
20711.1,20785.023,0.9964,STAY_ACTIVE,20785.0234375
19491.6,19637.496,0.9925,STAY_ACTIVE,19637.49609375
4119.6,4127.741,0.998,SCALE_DOWN,3000.0
3444.2999999999997,3443.3215,0.9997,SCALE_DOWN,3000.0
3789.6,3789.518,1.0,SCALE_DOWN,3000.0
4311.9,4317.88,0.9986,SCALE_DOWN,3000.0
6238.200000000001,6199.444,0.9938,STAY_ACTIVE,6199.44384765625
13036.8,13055.532,0.9986,STAY_ACTIVE,13055.5322265625
3333.3,3331.6782,0.9995,SCALE_DOWN,3000.0
10432.2,10408.05,0.9977,STAY_ACTIVE,10408.0498046875
3945.9,3946.6414,0.9998,SCALE_DOWN,3000.0
11573.4,11562.384,0.999,STAY_ACTIVE,11562.3837890625
4846.800000000001,4845.349,0.9997,SCALE_DOWN,3000.0
10236.9,10225.222,0.9989,STAY_ACTIVE,10225.2216796875
3906.3,3908.182,0.9995,SCALE_DOWN,3000.0
5637.9,5643.9937,0.9989,STAY_ACTIVE,5643.99365234375
3517.7999999999997,3523.5251,0.9984,SCALE_DOWN,3000.0
4164.0,4159.3213,0.9989,SCALE_DOWN,3000.0
11652.6,11696.016,0.9963,STAY_ACTIVE,11696.015625
13870.2,13842.727,0.998,STAY_ACTIVE,13842.7265625
6332.700000000001,6294.2383,0.9939,STAY_ACTIVE,6294.23828125
13080.0,13099.408,0.9985,STAY_ACTIVE,13099.408203125
4127.1,4137.3984,0.9975,SCALE_DOWN,3000.0
9840.9,9847.056,0.9994,STAY_ACTIVE,9847.0556640625
12091.8,12134.601,0.9965,STAY_ACTIVE,12134.6005859375
11043.3,11092.897,0.9955,STAY_ACTIVE,11092.8974609375
4827.9,4836.089,0.9983,SCALE_DOWN,3000.0
4533.9,4500.241,0.9926,SCALE_DOWN,3000.0
3812.1,3810.6968,0.9996,SCALE_DOWN,3000.0
8466.3,8462.456,0.9995,STAY_ACTIVE,8462.4560546875
18852.6,18830.16,0.9988,STAY_ACTIVE,18830.16015625
6729.6,6721.5854,0.9988,STAY_ACTIVE,6721.58544921875
14486.7,14488.271,0.9999,STAY_ACTIVE,14488.271484375
12390.6,12371.292,0.9984,STAY_ACTIVE,12371.2919921875
12102.6,12067.363,0.9971,STAY_ACTIVE,12067.36328125
4708.2,4702.4414,0.9988,SCALE_DOWN,3000.0
3764.7,3769.8218,0.9986,SCALE_DOWN,3000.0
3949.8,3952.389,0.9993,SCALE_DOWN,3000.0
4197.3,4205.347,0.9981,SCALE_DOWN,3000.0
4751.4,4758.694,0.9985,SCALE_DOWN,3000.0
6015.299999999999,6007.704,0.9987,STAY_ACTIVE,6007.7041015625
3523.7999999999997,3520.3518,0.999,SCALE_DOWN,3000.0
3810.0,3810.901,0.9998,SCALE_DOWN,3000.0
11467.2,11503.198,0.9969,STAY_ACTIVE,11503.1982421875
18193.8,18067.652,0.9931,STAY_ACTIVE,18067.65234375
3601.8,3608.2046,0.9982,SCALE_DOWN,3000.0
4371.9,4376.419,0.999,SCALE_DOWN,3000.0
3856.8,3859.3699,0.9993,SCALE_DOWN,3000.0
4149.9,4141.078,0.9979,SCALE_DOWN,3000.0
4008.3,4007.354,0.9998,SCALE_DOWN,3000.0
4946.1,4945.827,0.9999,SCALE_DOWN,3000.0
7657.800000000001,7674.5347,0.9978,STAY_ACTIVE,7674.53466796875
3810.0,3810.8496,0.9998,SCALE_DOWN,3000.0
16832.1,16979.56,0.9912,STAY_ACTIVE,16979.560546875
4441.5,4443.238,0.9996,SCALE_DOWN,3000.0
3510.6,3509.7234,0.9998,SCALE_DOWN,3000.0
5587.5,5586.291,0.9998,STAY_ACTIVE,5586.291015625
5061.3,5065.9062,0.9991,STAY_ACTIVE,5065.90625
3927.0,3926.712,0.9999,SCALE_DOWN,3000.0
4185.3,4180.3438,0.9988,SCALE_DOWN,3000.0
4550.700000000001,4562.9453,0.9973,SCALE_DOWN,3000.0
12518.4,12527.584,0.9993,STAY_ACTIVE,12527.583984375
11082.9,11129.012,0.9958,STAY_ACTIVE,11129.01171875
5070.6,5101.825,0.9938,STAY_ACTIVE,5101.8251953125
10093.800000000005,10059.263,0.9966,STAY_ACTIVE,10059.2626953125
3393.2999999999997,3397.4556,0.9988,SCALE_DOWN,3000.0
10738.2,10738.494,1.0,STAY_ACTIVE,10738.494140625
6361.5,6368.202,0.9989,STAY_ACTIVE,6368.2021484375
9034.8,8973.445,0.9932,STAY_ACTIVE,8973.4453125
4593.9,4607.091,0.9971,SCALE_DOWN,3000.0
6015.900000000001,6000.338,0.9974,STAY_ACTIVE,6000.337890625
3720.6,3714.3037,0.9983,SCALE_DOWN,3000.0
3585.9,3582.9587,0.9992,SCALE_DOWN,3000.0
5202.6,5189.6436,0.9975,STAY_ACTIVE,5189.6435546875
4630.5,4619.0967,0.9975,SCALE_DOWN,3000.0
3353.4000000000005,3353.407,1.0,SCALE_DOWN,3000.0
11823.9,11841.548,0.9985,STAY_ACTIVE,11841.5478515625
9710.7,9703.907,0.9993,STAY_ACTIVE,9703.9072265625
4999.5,4985.5264,0.9972,SCALE_DOWN,3000.0
7081.5,7067.843,0.9981,STAY_ACTIVE,7067.8427734375
9315.3,9302.735,0.9987,STAY_ACTIVE,9302.7353515625
8815.8,8840.584,0.9972,STAY_ACTIVE,8840.583984375
3882.6,3884.3274,0.9996,SCALE_DOWN,3000.0
5943.6,5990.811,0.9921,STAY_ACTIVE,5990.81103515625
4553.400000000001,4554.7734,0.9997,SCALE_DOWN,3000.0
4917.9,4911.66,0.9987,SCALE_DOWN,3000.0
7668.3,7655.7827,0.9984,STAY_ACTIVE,7655.78271484375
20109.0,19980.822,0.9936,STAY_ACTIVE,19980.822265625
5009.099999999999,5020.653,0.9977,STAY_ACTIVE,5020.65283203125
3605.099999999999,3611.1646,0.9983,SCALE_DOWN,3000.0
7328.1,7226.482,0.9861,STAY_ACTIVE,7226.48193359375
5161.5,5200.14,0.9925,STAY_ACTIVE,5200.14013671875
9468.3,9457.931,0.9989,STAY_ACTIVE,9457.9306640625
3598.5,3601.676,0.9991,SCALE_DOWN,3000.0
11602.500000000002,11637.495,0.997,STAY_ACTIVE,11637.4951171875
21000.0,21008.928,0.9996,STAY_ACTIVE,21008.927734375
4417.5,4419.2983,0.9996,SCALE_DOWN,3000.0
3324.0,3326.274,0.9993,SCALE_DOWN,3000.0
15515.4,15593.706,0.995,STAY_ACTIVE,15593.7060546875
6289.5,6287.0894,0.9996,STAY_ACTIVE,6287.08935546875
4976.700000000001,4978.5474,0.9996,SCALE_DOWN,3000.0
3951.0,3948.305,0.9993,SCALE_DOWN,3000.0
3412.8,3413.5051,0.9998,SCALE_DOWN,3000.0
12491.4,12362.934,0.9897,STAY_ACTIVE,12362.93359375
6613.5,6613.006,0.9999,STAY_ACTIVE,6613.005859375
4675.8,4680.1494,0.9991,SCALE_DOWN,3000.0
4539.0,4536.444,0.9994,SCALE_DOWN,3000.0
3924.3,3922.9004,0.9996,SCALE_DOWN,3000.0
6917.1,6890.2437,0.9961,STAY_ACTIVE,6890.24365234375
8661.9,8661.284,0.9999,STAY_ACTIVE,8661.2841796875
3774.0,3765.163,0.9977,SCALE_DOWN,3000.0
4876.5,4865.339,0.9977,SCALE_DOWN,3000.0
3633.6,3642.0774,0.9977,SCALE_DOWN,3000.0
14504.7,14454.816,0.9966,STAY_ACTIVE,14454.81640625
4417.5,4419.247,0.9996,SCALE_DOWN,3000.0
3359.0999999999995,3360.1365,0.9997,SCALE_DOWN,3000.0
11135.1,11059.122,0.9932,STAY_ACTIVE,11059.1220703125
17482.800000000003,17584.758,0.9942,STAY_ACTIVE,17584.7578125
3971.4,3982.1812,0.9973,SCALE_DOWN,3000.0
4836.3,4830.09,0.9987,SCALE_DOWN,3000.0
11205.3,11204.235,0.9999,STAY_ACTIVE,11204.2353515625
3892.2,3894.0684,0.9995,SCALE_DOWN,3000.0
4819.8,4815.453,0.9991,SCALE_DOWN,3000.0
3948.900000000001,3946.756,0.9995,SCALE_DOWN,3000.0
9706.8,9688.254,0.9981,STAY_ACTIVE,9688.25390625
3659.4,3662.773,0.9991,SCALE_DOWN,3000.0
16511.7,16584.78,0.9956,STAY_ACTIVE,16584.779296875
10829.1,10866.929,0.9965,STAY_ACTIVE,10866.9287109375
11587.8,11624.893,0.9968,STAY_ACTIVE,11624.892578125
