Timestamp,ModelID,InputTokens,OutputTokens,RequestID
2026-06-01 00:00:00,mistral-large,1388,560,req_0
2026-06-01 00:00:01,llama-3-70b,494,282,req_1
2026-06-01 00:00:02,mistral-large,1244,697,req_2
2026-06-01 00:00:03,mistral-large,1737,703,req_3
2026-06-01 00:00:04,llama-3-70b,53,994,req_4
2026-06-01 00:00:05,llama-3-70b,1574,630,req_5
2026-06-01 00:00:06,mistral-large,580,495,req_6
2026-06-01 00:00:07,gpt-4o,592,259,req_7
2026-06-01 00:00:08,mistral-large,1125,385,req_8
2026-06-01 00:00:09,mistral-large,1298,896,req_9
2026-06-01 00:00:10,mistral-large,904,546,req_10
2026-06-01 00:00:11,mistral-large,229,268,req_11
2026-06-01 00:00:12,llama-3-70b,1935,614,req_12
2026-06-01 00:00:13,mistral-large,934,829,req_13
2026-06-01 00:00:14,gpt-4o,1475,883,req_14
2026-06-01 00:00:15,llama-3-70b,410,333,req_15
2026-06-01 00:00:16,gpt-4o,1433,119,req_16
2026-06-01 00:00:17,gpt-4o,736,280,req_17
2026-06-01 00:00:18,gpt-4o,1000,492,req_18
2026-06-01 00:00:19,gpt-4o,908,285,req_19
2026-06-01 00:00:20,llama-3-70b,1822,279,req_20
2026-06-01 00:00:21,llama-3-70b,1609,777,req_21
2026-06-01 00:00:22,gpt-4o,867,847,req_22
2026-06-01 00:00:23,gpt-4o,813,723,req_23
2026-06-01 00:00:24,llama-3-70b,499,900,req_24
2026-06-01 00:00:25,llama-3-70b,1518,332,req_25
2026-06-01 00:00:26,llama-3-70b,1790,215,req_26
2026-06-01 00:00:27,mistral-large,1503,731,req_27
2026-06-01 00:00:28,mistral-large,1607,927,req_28
2026-06-01 00:00:29,mistral-large,947,556,req_29
2026-06-01 00:00:30,gpt-4o,853,996,req_30
2026-06-01 00:00:31,mistral-large,1715,30,req_31
2026-06-01 00:00:32,gpt-4o,1478,31,req_32
2026-06-01 00:00:33,gpt-4o,1302,706,req_33
2026-06-01 00:00:34,mistral-large,276,87,req_34
2026-06-01 00:00:35,gpt-4o,63,900,req_35
2026-06-01 00:00:36,mistral-large,537,950,req_36
2026-06-01 00:00:37,mistral-large,1553,686,req_37
2026-06-01 00:00:38,llama-3-70b,625,417,req_38
2026-06-01 00:00:39,mistral-large,1092,171,req_39
2026-06-01 00:00:40,llama-3-70b,1858,704,req_40
2026-06-01 00:00:41,mistral-large,1073,173,req_41
2026-06-01 00:00:42,mistral-large,1270,805,req_42
2026-06-01 00:00:43,llama-3-70b,964,983,req_43
2026-06-01 00:00:44,llama-3-70b,395,233,req_44
2026-06-01 00:00:45,mistral-large,1639,983,req_45
2026-06-01 00:00:46,gpt-4o,743,613,req_46
2026-06-01 00:00:47,llama-3-70b,725,371,req_47
2026-06-01 00:00:48,gpt-4o,659,532,req_48
2026-06-01 00:00:49,gpt-4o,309,795,req_49
2026-06-01 00:00:50,gpt-4o,404,651,req_50
2026-06-01 00:00:51,llama-3-70b,1240,542,req_51
2026-06-01 00:00:52,gpt-4o,1369,868,req_52
2026-06-01 00:00:53,llama-3-70b,602,528,req_53
2026-06-01 00:00:54,gpt-4o,1763,76,req_54
2026-06-01 00:00:55,mistral-large,523,649,req_55
2026-06-01 00:00:56,mistral-large,1211,110,req_56
2026-06-01 00:00:57,llama-3-70b,405,736,req_57
2026-06-01 00:00:58,mistral-large,380,889,req_58
2026-06-01 00:00:59,mistral-large,867,969,req_59
2026-06-01 00:01:00,gpt-4o,800,693,req_60
2026-06-01 00:01:01,llama-3-70b,667,286,req_61
2026-06-01 00:01:02,gpt-4o,1351,137,req_62
2026-06-01 00:01:03,gpt-4o,745,538,req_63
2026-06-01 00:01:04,gpt-4o,1402,979,req_64
2026-06-01 00:01:05,gpt-4o,393,273,req_65
2026-06-01 00:01:06,gpt-4o,71,416,req_66
2026-06-01 00:01:07,gpt-4o,1839,677,req_67
2026-06-01 00:01:08,gpt-4o,514,623,req_68
2026-06-01 00:01:09,llama-3-70b,248,795,req_69
2026-06-01 00:01:10,mistral-large,204,869,req_70
2026-06-01 00:01:11,gpt-4o,687,751,req_71
2026-06-01 00:01:12,gpt-4o,1996,22,req_72
2026-06-01 00:01:13,gpt-4o,1255,758,req_73
2026-06-01 00:01:14,gpt-4o,70,121,req_74
2026-06-01 00:01:15,gpt-4o,1162,802,req_75
2026-06-01 00:01:16,gpt-4o,999,798,req_76
2026-06-01 00:01:17,mistral-large,694,148,req_77
2026-06-01 00:01:18,mistral-large,2025,721,req_78
2026-06-01 00:01:19,gpt-4o,165,555,req_79
2026-06-01 00:01:20,mistral-large,1950,933,req_80
2026-06-01 00:01:21,llama-3-70b,1411,670,req_81
2026-06-01 00:01:22,gpt-4o,1655,692,req_82
2026-06-01 00:01:23,llama-3-70b,1814,965,req_83
2026-06-01 00:01:24,llama-3-70b,932,757,req_84
2026-06-01 00:01:25,gpt-4o,877,426,req_85
2026-06-01 00:01:26,mistral-large,912,902,req_86
2026-06-01 00:01:27,llama-3-70b,1823,373,req_87
2026-06-01 00:01:28,gpt-4o,1619,650,req_88
2026-06-01 00:01:29,llama-3-70b,1008,562,req_89
2026-06-01 00:01:30,llama-3-70b,1470,54,req_90
2026-06-01 00:01:31,llama-3-70b,984,682,req_91
2026-06-01 00:01:32,llama-3-70b,1240,110,req_92
2026-06-01 00:01:33,mistral-large,397,220,req_93
2026-06-01 00:01:34,llama-3-70b,1513,662,req_94
2026-06-01 00:01:35,llama-3-70b,1824,927,req_95
2026-06-01 00:01:36,llama-3-70b,896,429,req_96
2026-06-01 00:01:37,mistral-large,847,76,req_97
2026-06-01 00:01:38,llama-3-70b,2017,992,req_98
2026-06-01 00:01:39,llama-3-70b,1373,846,req_99
2026-06-01 00:01:40,mistral-large,1902,789,req_100
2026-06-01 00:01:41,mistral-large,349,763,req_101
2026-06-01 00:01:42,mistral-large,213,450,req_102
2026-06-01 00:01:43,llama-3-70b,170,929,req_103
2026-06-01 00:01:44,mistral-large,1573,190,req_104
2026-06-01 00:01:45,mistral-large,401,74,req_105
2026-06-01 00:01:46,llama-3-70b,778,978,req_106
2026-06-01 00:01:47,mistral-large,1710,154,req_107
2026-06-01 00:01:48,llama-3-70b,584,250,req_108
2026-06-01 00:01:49,gpt-4o,543,778,req_109
2026-06-01 00:01:50,mistral-large,1103,542,req_110
2026-06-01 00:01:51,gpt-4o,902,939,req_111
2026-06-01 00:01:52,llama-3-70b,414,656,req_112
2026-06-01 00:01:53,mistral-large,617,103,req_113
2026-06-01 00:01:54,llama-3-70b,1708,914,req_114
2026-06-01 00:01:55,gpt-4o,1624,282,req_115
2026-06-01 00:01:56,llama-3-70b,1550,567,req_116
2026-06-01 00:01:57,mistral-large,837,667,req_117
2026-06-01 00:01:58,mistral-large,1153,948,req_118
2026-06-01 00:01:59,gpt-4o,1847,459,req_119
2026-06-01 00:02:00,llama-3-70b,699,108,req_120
2026-06-01 00:02:01,mistral-large,1721,950,req_121
2026-06-01 00:02:02,gpt-4o,911,605,req_122
