Actual_Energy,Predicted_Energy,Confidence,CBIS_Decision,CBIS_Energy_J
21000.0,21000.055,1.0,STAY_ACTIVE,21000.0546875
7353.6,7344.412,0.9988,SCALE_DOWN,3000.0
12439.2,12406.335,0.9974,STAY_ACTIVE,12406.3349609375
5930.700000000001,5927.805,0.9995,SCALE_DOWN,3000.0
13016.1,13076.477,0.9954,STAY_ACTIVE,13076.4765625
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
21000.0,21000.047,1.0,STAY_ACTIVE,21000.046875
7960.5,7970.0806,0.9988,SCALE_DOWN,3000.0
8631.6,8609.768,0.9975,SCALE_DOWN,3000.0
21000.0,20999.11,1.0,STAY_ACTIVE,20999.109375
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
5215.8,5214.061,0.9997,SCALE_DOWN,3000.0
21000.0,21000.049,1.0,STAY_ACTIVE,21000.048828125
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
13035.9,12971.345,0.995,STAY_ACTIVE,12971.3447265625
9835.8,9832.564,0.9997,STAY_ACTIVE,9832.564453125
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
21000.0,21000.078,1.0,STAY_ACTIVE,21000.078125
21000.0,21000.078,1.0,STAY_ACTIVE,21000.078125
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
5977.5,6054.7183,0.9871,SCALE_DOWN,3000.0
9775.5,9785.456,0.999,STAY_ACTIVE,9785.4560546875
13965.000000000002,13999.996,0.9975,STAY_ACTIVE,13999.99609375
20896.800000000003,20602.52,0.9859,STAY_ACTIVE,20602.51953125
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
6723.900000000001,6710.3438,0.998,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
21000.0,20999.172,1.0,STAY_ACTIVE,20999.171875
8444.7,8466.801,0.9974,SCALE_DOWN,3000.0
19971.3,19942.18,0.9985,STAY_ACTIVE,19942.1796875
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
3576.6000000000004,3563.5251,0.9963,SCALE_DOWN,3000.0
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
9014.7,9005.882,0.999,STAY_ACTIVE,9005.8818359375
3000.0,3000.4214,0.9999,SCALE_DOWN,3000.0
12512.4,12592.704,0.9936,STAY_ACTIVE,12592.7041015625
