Timestamp,ArrivalRate,TotalInputTokens,TotalOutputTokens,Hour,Minute,ActiveSeconds,Energy_Joules,Energy_kWh
2024-05-01 00:00:00,2,278,154,0,0,4.128,4238.4,0.0011773333333333332
2024-05-01 00:01:00,2,239,124,0,1,3.339,4001.7000000000003,0.0011115833333333333
2024-05-01 00:02:00,7,304,109,0,2,3.029,3908.7,0.00108575
2024-05-01 00:03:00,7,280,137,0,3,3.705,4111.5,0.0011420833333333333
2024-05-01 00:04:00,6,275,151,0,4,4.050000000000001,4215.0,0.0011708333333333334
2024-05-01 00:05:00,7,268,93,0,5,2.593,3777.8999999999996,0.0010494166666666666
2024-05-01 00:06:00,4,128,86,0,6,2.278,3683.3999999999996,0.0010231666666666666
2024-05-01 00:07:00,7,181,123,0,7,3.2560000000000002,3976.8,0.0011046666666666668
2024-05-01 00:08:00,6,299,69,0,8,2.024,3607.2000000000003,0.001002
2024-05-01 00:09:00,4,160,127,0,9,3.3350000000000004,4000.5,0.00111125
2024-05-01 00:10:00,4,123,159,0,10,4.098,4229.4,0.0011748333333333333
2024-05-01 00:11:00,4,282,84,0,11,2.382,3714.6000000000004,0.0010318333333333334
2024-05-01 00:12:00,6,244,129,0,12,3.4690000000000003,4040.7,0.0011224166666666665
2024-05-01 00:13:00,3,130,137,0,13,3.555,4066.5,0.0011295833333333334
2024-05-01 00:14:00,4,229,120,0,14,3.229,3968.7000000000003,0.0011024166666666667
2024-05-01 00:15:00,7,163,154,0,15,4.013,4203.9,0.00116775
2024-05-01 00:16:00,2,235,148,0,16,3.935,4180.5,0.00116125
2024-05-01 00:17:00,7,170,75,0,17,2.045,3613.5,0.00100375
2024-05-01 00:18:00,2,299,63,0,18,1.874,3562.2,0.0009895
2024-05-01 00:19:00,3,259,134,0,19,3.609,4082.7,0.0011340833333333333
2024-05-01 00:20:00,8,154,159,0,20,4.1290000000000004,4238.700000000001,0.0011774166666666669
2024-05-01 00:21:00,7,296,139,0,21,3.771,4131.299999999999,0.0011475833333333331
2024-05-01 00:22:00,6,182,119,0,22,3.157,3947.1000000000004,0.0010964166666666668
2024-05-01 00:23:00,6,114,88,0,23,2.314,3694.2000000000003,0.0010261666666666668
2024-05-01 00:24:00,4,150,160,0,24,4.15,4245.0,0.0011791666666666667
2024-05-01 00:25:00,3,229,101,0,25,2.7540000000000004,3826.2000000000003,0.0010628333333333334
2024-05-01 00:26:00,3,246,73,0,26,2.071,3621.3,0.0010059166666666667
2024-05-01 00:27:00,2,186,161,0,27,4.211,4263.3,0.00118425
2024-05-01 00:28:00,6,282,96,0,28,2.6820000000000004,3804.6000000000004,0.0010568333333333335
2024-05-01 00:29:00,3,192,74,0,29,2.0420000000000003,3612.6000000000004,0.0010035
2024-05-01 00:30:00,5,222,103,0,30,2.797,3839.1000000000004,0.0010664166666666667
2024-05-01 00:31:00,8,266,116,0,31,3.1660000000000004,3949.8,0.0010971666666666666
2024-05-01 00:32:00,7,141,145,0,32,3.766,4129.8,0.0011471666666666668
2024-05-01 00:33:00,5,264,135,0,33,3.6390000000000002,4091.7,0.0011365833333333332
2024-05-01 00:34:00,7,221,103,0,34,2.7960000000000003,3838.8,0.0010663333333333334
2024-05-01 00:35:00,4,265,113,0,35,3.0900000000000003,3927.0,0.0010908333333333334
2024-05-01 00:36:00,6,202,150,0,36,3.952,4185.6,0.0011626666666666667
2024-05-01 00:37:00,8,316,130,0,37,3.566,4069.7999999999997,0.0011305
2024-05-01 00:38:00,3,246,126,0,38,3.3960000000000004,4018.8,0.0011163333333333333
2024-05-01 00:39:00,4,298,76,0,39,2.198,3659.3999999999996,0.0010164999999999998
2024-05-01 00:40:00,4,216,87,0,40,2.3910000000000005,3717.3,0.0010325833333333335
2024-05-01 00:41:00,6,115,91,0,41,2.39,3717.0,0.0010325
2024-05-01 00:42:00,3,248,70,0,42,1.998,3599.3999999999996,0.0009998333333333333
2024-05-01 00:43:00,7,139,122,0,43,3.189,3956.7000000000003,0.0010990833333333334
2024-05-01 00:44:00,8,324,57,0,44,1.749,3524.7,0.0009790833333333333
2024-05-01 00:45:00,9,175,145,0,45,3.8,4140.0,0.00115
2024-05-01 00:46:00,2,210,132,0,46,3.5100000000000002,4053.0,0.0011258333333333333
2024-05-01 00:47:00,5,164,108,0,47,2.8640000000000003,3859.2000000000003,0.001072
2024-05-01 00:48:00,6,114,121,0,48,3.1390000000000002,3941.7,0.0010949166666666666
2024-05-01 00:49:00,2,152,100,0,49,2.652,3795.6000000000004,0.0010543333333333333
2024-05-01 00:50:00,7,240,87,0,50,2.415,3724.5,0.0010345833333333333
2024-05-01 00:51:00,2,206,167,0,51,4.381,4314.3,0.0011984166666666666
2024-05-01 00:52:00,3,261,66,0,52,1.911,3573.2999999999997,0.0009925833333333332
2024-05-01 00:53:00,3,128,128,0,53,3.3280000000000003,3998.4,0.0011106666666666667
2024-05-01 00:54:00,8,271,100,0,54,2.771,3831.2999999999997,0.0010642499999999999
2024-05-01 00:55:00,7,197,72,0,55,1.997,3599.1000000000004,0.0009997500000000002
2024-05-01 00:56:00,3,242,148,0,56,3.942,4182.6,0.0011618333333333335
2024-05-01 00:57:00,4,119,134,0,57,3.4690000000000003,4040.7,0.0011224166666666665
2024-05-01 00:58:00,6,147,166,0,58,4.297000000000001,4289.1,0.0011914166666666668
2024-05-01 00:59:00,3,298,142,0,59,3.8480000000000003,4154.4,0.0011539999999999999
2024-05-01 01:00:00,8,285,172,1,0,4.585,4375.5,0.0012154166666666667
2024-05-01 01:01:00,6,285,89,1,1,2.5100000000000002,3753.0,0.0010425
2024-05-01 01:02:00,8,208,137,1,2,3.6330000000000005,4089.9,0.0011360833333333333
2024-05-01 01:03:00,3,304,113,1,3,3.129,3938.7000000000003,0.0010940833333333334
2024-05-01 01:04:00,1,232,130,1,4,3.482,4044.6000000000004,0.0011235000000000001
2024-05-01 01:05:00,3,181,89,1,5,2.406,3721.8,0.0010338333333333334
2024-05-01 01:06:00,5,237,98,1,6,2.6870000000000003,3806.1000000000004,0.00105725
2024-05-01 01:07:00,4,141,141,1,7,3.6660000000000004,4099.8,0.0011388333333333333
2024-05-01 01:08:00,7,148,92,1,8,2.4480000000000004,3734.4,0.0010373333333333335
2024-05-01 01:09:00,7,283,170,1,9,4.533,4359.9,0.0012110833333333333
2024-05-01 01:10:00,3,160,171,1,10,4.4350000000000005,4330.5,0.0012029166666666666
2024-05-01 01:11:00,5,253,136,1,11,3.6530000000000005,4095.9,0.00113775
2024-05-01 01:12:00,5,336,168,1,12,4.5360000000000005,4360.8,0.0012113333333333334
2024-05-01 01:13:00,2,192,94,1,13,2.5420000000000003,3762.6000000000004,0.0010451666666666667
2024-05-01 01:14:00,4,333,103,1,14,2.9080000000000004,3872.4,0.0010756666666666666
2024-05-01 01:15:00,7,289,83,1,15,2.3640000000000003,3709.2000000000003,0.0010303333333333334
2024-05-01 01:16:00,2,165,100,1,16,2.665,3799.5,0.0010554166666666667
2024-05-01 01:17:00,9,238,105,1,17,2.863,3858.8999999999996,0.0010719166666666665
2024-05-01 01:18:00,4,173,133,1,18,3.498,4049.4,0.0011248333333333334
2024-05-01 01:19:00,8,266,105,1,19,2.891,3867.3,0.0010742500000000001
2024-05-01 01:20:00,5,301,146,1,20,3.9510000000000005,4185.3,0.0011625833333333334
2024-05-01 01:21:00,7,252,72,1,21,2.052,3615.6000000000004,0.0010043333333333334
2024-05-01 01:22:00,4,152,169,1,22,4.377000000000001,4313.1,0.0011980833333333333
2024-05-01 01:23:00,8,248,145,1,23,3.873,4161.9,0.0011560833333333332
2024-05-01 01:24:00,4,147,160,1,24,4.147,4244.1,0.0011789166666666669
2024-05-01 01:25:00,7,181,99,1,25,2.656,3796.8,0.0010546666666666666
2024-05-01 01:26:00,4,201,172,1,26,4.5009999999999994,4350.3,0.0012084166666666667
2024-05-01 01:27:00,9,302,175,1,27,4.677,4403.1,0.0012230833333333334
2024-05-01 01:28:00,6,323,98,1,28,2.773,3831.9,0.0010644166666666666
2024-05-01 01:29:00,2,117,79,1,29,2.092,3627.6000000000004,0.0010076666666666667
2024-05-01 01:30:00,8,126,146,1,30,3.7760000000000002,4132.8,0.0011480000000000001
2024-05-01 01:31:00,4,207,92,1,31,2.507,3752.1000000000004,0.0010422500000000002
2024-05-01 01:32:00,4,319,153,1,32,4.144,4243.200000000001,0.0011786666666666668
2024-05-01 01:33:00,2,230,146,1,33,3.8800000000000003,4164.0,0.0011566666666666667
2024-05-01 01:34:00,8,308,173,1,34,4.633,4389.9,0.0012194166666666666
2024-05-01 01:35:00,6,322,145,1,35,3.947,4184.099999999999,0.0011622499999999999
2024-05-01 01:36:00,4,221,61,1,36,1.7460000000000002,3523.7999999999997,0.0009788333333333333
2024-05-01 01:37:00,3,185,99,1,37,2.66,3798.0,0.001055
2024-05-01 01:38:00,5,190,172,1,38,4.49,4347.0,0.0012075
2024-05-01 01:39:00,9,167,132,1,39,3.467,4040.1000000000004,0.0011222500000000002
2024-05-01 01:40:00,3,183,84,1,40,2.283,3684.8999999999996,0.0010235833333333332
2024-05-01 01:41:00,4,157,62,1,41,1.707,3512.1000000000004,0.0009755833333333334
2024-05-01 01:42:00,4,299,122,1,42,3.349,4004.7,0.0011124166666666667
2024-05-01 01:43:00,4,123,113,1,43,2.9480000000000004,3884.4,0.001079
2024-05-01 01:44:00,7,306,87,1,44,2.4810000000000003,3744.3,0.0010400833333333334
2024-05-01 01:45:00,4,140,68,1,45,1.8400000000000003,3552.0,0.0009866666666666667
2024-05-01 01:46:00,4,152,80,1,46,2.152,3645.6000000000004,0.0010126666666666667
2024-05-01 01:47:00,10,257,140,1,47,3.757,4127.1,0.0011464166666666667
2024-05-01 01:48:00,8,285,70,1,48,2.035,3610.5,0.0010029166666666667
2024-05-01 01:49:00,5,308,142,1,49,3.858,4157.400000000001,0.0011548333333333334
2024-05-01 01:50:00,10,312,102,1,50,2.862,3858.6000000000004,0.0010718333333333335
2024-05-01 01:51:00,9,208,147,1,51,3.8830000000000005,4164.9,0.0011569166666666666
2024-05-01 01:52:00,8,191,98,1,52,2.641,3792.3,0.0010534166666666667
2024-05-01 01:53:00,7,264,145,1,53,3.8890000000000002,4166.7,0.0011574166666666666
2024-05-01 01:54:00,2,134,156,1,54,4.034000000000001,4210.200000000001,0.0011695000000000002
2024-05-01 01:55:00,3,242,149,1,55,3.967,4190.1,0.0011639166666666668
2024-05-01 01:56:00,5,250,73,1,56,2.075,3622.5,0.00100625
2024-05-01 01:57:00,2,294,154,1,57,4.144,4243.200000000001,0.0011786666666666668
2024-05-01 01:58:00,7,230,60,1,58,1.73,3519.0,0.0009775
2024-05-01 01:59:00,7,236,106,1,59,2.8860000000000006,3865.8,0.0010738333333333333
2024-05-01 02:00:00,3,307,180,2,0,4.807,4442.1,0.0012339166666666668
2024-05-01 02:01:00,9,347,141,2,1,3.8720000000000003,4161.6,0.0011560000000000001
2024-05-01 02:02:00,5,210,94,2,2,2.56,3768.0,0.0010466666666666667
2024-05-01 02:03:00,8,260,79,2,3,2.2350000000000003,3670.5,0.0010195833333333333
2024-05-01 02:04:00,3,191,63,2,4,1.7660000000000002,3529.8,0.0009805
2024-05-01 02:05:00,9,280,151,2,5,4.055000000000001,4216.5,0.00117125
2024-05-01 02:06:00,5,266,153,2,6,4.091,4227.3,0.00117425
2024-05-01 02:07:00,3,191,160,2,7,4.191,4257.299999999999,0.0011825833333333332
2024-05-01 02:08:00,3,156,70,2,8,1.906,3571.8,0.0009921666666666668
2024-05-01 02:09:00,6,312,101,2,9,2.837,3851.0999999999995,0.00106975
2024-05-01 02:10:00,7,285,172,2,10,4.585,4375.5,0.0012154166666666667
2024-05-01 02:11:00,9,280,65,2,11,1.905,3571.5,0.0009920833333333333
2024-05-01 02:12:00,2,257,144,2,12,3.857,4157.1,0.0011547500000000002
2024-05-01 02:13:00,5,357,169,2,13,4.582000000000001,4374.6,0.0012151666666666667
2024-05-01 02:14:00,7,224,154,2,14,4.074,4222.2,0.0011728333333333332
2024-05-01 02:15:00,9,311,171,2,15,4.586,4375.8,0.0012155
2024-05-01 02:16:00,2,136,63,2,16,1.7110000000000003,3513.3,0.0009759166666666667
2024-05-01 02:17:00,9,210,167,2,17,4.385,4315.5,0.00119875
2024-05-01 02:18:00,10,161,64,2,18,1.7610000000000001,3528.2999999999997,0.0009800833333333332
2024-05-01 02:19:00,6,261,61,2,19,1.786,3535.7999999999997,0.0009821666666666666
2024-05-01 02:20:00,4,346,119,2,20,3.321,3996.3,0.0011100833333333334
2024-05-01 02:21:00,4,221,174,2,21,4.571000000000001,4371.3,0.00121425
